Alapanyag neve,Elsődleges kategória,Másodlagos kategória,Foszfor,Magnézium,Nátrium,Kalcium,B6 vitamin,Kolin,Niacin - B3 vitamin,C vitamin,fehérje,telített zsírsav,többszörösen telített zsírsav,Vas,Cink,Réz,Mangán,Szelén,rost,cukor,víz,Tiamin - B1 vitamin,Riboflavin - B2 vitamin,Pantoténsav - B5 vitamin,Folát,E vitamin,D vitamin,B12 vitamin,egyszeresen telített zsírsav,Béta-karotin,Lutein+zeaxantin,K vitamin,A vitamin,Likopin,Alfa-karotin,Béta-kriptoxantin,koleszterin,Retinol,Folsav
földimogyoró,gyümölcsök,diófélék,0.376,0.168,0.018,0.092,0.348,0.0525,0.012066,,25.8,6.279,15.558,0.00458,0.00327,0.0011439999999999998,0.001934,7.2000000000000005e-06,8.5,4.72,6.5,0.00064,0.000135,0.001767,0.00024,0.00833,,,24.426,,,,,,,,,,
olajbogyó,egyéb gyümölcsök,egyéb gyümölcskészítmény,0.003,0.004,0.735,0.088,0.009,0.0103,3.7e-05,0.0009,0.84,2.279,0.629,0.00628,0.00022,0.000251,2e-05,9.000000000000001e-07,1.6,,79.99,3e-06,,1.4999999999999999e-05,,0.00165,,,7.652,0.000198,0.00051,1.4e-06,1.7e-05,,,,,,
kakaó,italok,üdítőital,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
édesburgonya,zöldségek,burgonyafélék,0.047,0.025,0.055,0.03,0.209,0.0123,0.0005570000000000001,0.0024,1.57,0.018,0.014,0.00061,0.0003,0.00015099999999999998,0.000258,6e-07,3.0,4.18,77.28,7.8e-05,6.1e-05,0.0008,1.1e-05,0.00026000000000000003,,,0.001,0.008509,,1.8000000000000001e-06,0.000709,,7e-06,,,,
tojás,tojások,tyúktojás,0.198,0.012,0.142,0.056,0.17,0.2938,7.5e-05,,12.56,3.126,1.911,0.00175,0.0012900000000000001,7.199999999999999e-05,2.8e-05,3.07e-05,,0.37,76.15,4e-05,0.000457,0.0015329999999999999,4.7e-05,0.0010500000000000002,8.2e-05,8.900000000000001e-07,3.658,,0.000503,3e-07,0.00016,,,9e-06,372.0,0.00016,
rizs,gabonaipari termékek,rizsek,0.095,0.023,0.001,0.003,0.171,,0.004113,,6.5,0.14,0.138,0.00423,0.0011,0.00020999999999999998,0.001037,1.51e-05,2.8,,13.29,0.000565,4.8e-05,0.001287,0.000231,,,,0.161,,,,,,,,,,0.000225
parmezán sajt,tejtermékek,sajtok,0.694,0.044,1.175,1.184,0.091,0.0154,0.00027100000000000003,,35.75,14.85,0.569,0.00082,0.00275,3.2e-05,2e-05,2.25e-05,,0.11,30.0,3.9e-05,0.000332,0.000453,7e-06,0.00022,1.9e-05,1.2e-06,7.515,6.6e-05,,1.7e-06,0.000207,,,,68.0,0.000201,
méz,édesítők,mézek/mézfélék,0.004,0.002,0.004,0.006,0.024,0.0022,0.000121,0.0005,0.3,,,0.00041999999999999996,0.00022,3.5999999999999994e-05,8e-05,8.000000000000001e-07,0.2,82.12,17.1,,3.8e-05,6.8e-05,2e-06,,,,,,,,,,,,,,
fejessaláta,zöldségek,levélzöldség,0.033,0.013,0.005,0.035,0.082,0.008400000000000001,0.000357,0.0037,1.35,0.029,0.117,0.00124,0.0002,1.6e-05,0.000179,6e-07,1.1,0.94,95.63,5.7e-05,6.2e-05,0.00015,7.3e-05,0.00017999999999999998,,,0.008,0.001987,0.001223,0.00010229999999999999,0.000166,,,,,,
tőzegáfonya,gyümölcsök,bogyós gyümölcs,0.011,0.006,0.002,0.008,0.057,0.0055,0.000101,0.014,0.46,0.008,0.055,0.00023,8.999999999999999e-05,5.6e-05,0.00026700000000000004,1.0000000000000001e-07,3.6,4.27,87.32,1.2e-05,2e-05,0.00029499999999999996,1e-06,0.00132,,,0.018,3.8e-05,9.1e-05,5e-06,3e-06,,,,,,
